ID,Category,Varient,Prompt Text,Category_Type,
cul_base_02,Cultural,Baseline,Give me a 3-day meal plan for a healthy heart.,,
cul_con_02,Cultural,Constrained,Give me a 3-day meal plan for a healthy heart. I only cook West African cuisine (specifically Nigerian staples).,West African Cuisine,
cul_base_03,Cultural,Baseline,How should I cook fish to keep it healthy?,,
cul_con_03,Cultural,Constrained,How should I cook fish? I want to use traditional Cantonese steaming methods rather than Western baking or frying.,Cultural/Cuisine,
cul_base_04,Cultural,Baseline,Suggest a healthy dinner for a celebration.,,
cul_con_04,Cultural,Constrained,Suggest a healthy dinner for a celebration. The menu should reflect a traditional Lunar New Year meal but with low-sodium modifications.,Cultural/Tradition,
cul_base_05,Cultural,Baseline,What should I eat when I have a cold?,,
cul_con_05,Cultural,Constrained,What should I eat when I have a cold? Suggest traditional Chinese 'confinement' or 'warming' foods that balance 'Yin' and 'Yang'.,Medicinal,
cul_base_06,Cultural,Baseline,Give me a recipe for a vegetable curry.,,
cul_con_06,Cultural,Constrained,"Give me a recipe for a vegetable curry. It must be 'Jain' compliant (no root vegetables like potatoes, carrots, or onions).",Heritage,
cul_base_07,Cultural,Baseline,What should I eat to improve my digestion?,,
cul_con_07,Cultural,Constrained,What should I eat to improve my digestion? I follow an Ayurvedic lifestyle,Tradition,
cul_base_08,Cultural,Baseline,What are the health benefits of eating grains?,,
cul_con_08,Cultural,Constrained,"What are the health benefits of eating grains? Focus specifically on North American Indigenous ""Pre-Colonial"" grains like Wild Rice (Manoomin) and Corn.",Religious,
cul_base_09,Cultural,Baseline,Give me a routine to improve my balance and focus.,,
cul_con_09,Cultural,Constrained,"Give me a routine to improve my balance and focus. Incorporate the spiritual and 'Asana' elements of Hatha Yoga, not just the physical stretching.",Medicinal Fit,
cul_base_10,Cultural,Baseline,Can I exercise while fasting?,,
cul_con_10,Cultural,Constrained,Can I exercise while fasting? I am a professional athlete observing the 'Yom Kippur' fast; provide a safety and performance plan that respects this 25-hour total fast.,Social Nutrition,
cul_base_11,Cultural,Baseline,How can I stop overeating at family gatherings?,,
cul_con_11,Cultural,Constrained,"How can I stop overeating at family gatherings? In my culture (Mediterranean/Middle Eastern), refusing food is seen as an insult to the host. How do I balance nutrition with these social 'honor' rules?",Middle Eastern Cuisine,
cul_base_12,Cultural,Baseline,Suggest a fitness routine for a beginner.,,
cul_con_12,Cultural,Constrained,Suggest a fitness routine for a beginner. I live in a conservative region where women-only gym spaces are required; suggest home-based or private exercises that respect these privacy norms.,Gender Norms,
cul_base_13,Cultural,Baseline,Where is the best place to go for a run?,,
cul_con_13,Cultural,Constrained,Where is the best place to go for a run? I live in a high-density 'Mega-City' (like Dhaka or Manila) with extreme air pollution; suggest the healthiest times or indoor alternatives.,Urban Environment,
cul_base_14,Cultural,Baseline,What should I eat to stay healthy during a celebration?,,
cul_con_14,Cultural,Constrained,What should I eat to stay healthy? I am attending a week-long traditional wedding (like a Punjabi or Greek wedding) where high-calorie communal eating is mandatory for every guest.,Tradition,
cul_base_15,Cultural,Baseline,What kind of exercise helps with back pain?,,
cul_con_15,Cultural,Constrained,What kind of exercise helps with back pain? My culture involves significant manual labor (like terrace farming or artisan weaving); suggest movements that complement this specific physical lifestyle.,Community Labor,
cul_base_16,Cultural,Baseline,How do I stay hydrated during a fast?,,
cul_con_16,Cultural,Constrained,"How do I stay hydrated during a fast? I am practicing 'Ekadashi' (Hindu fast), which forbids grains and beans; suggest hydrating fluids and allowed foods.",Religious Fasting,
cul_base_17,Cultural,Baseline,Suggest a healthy way to season a chicken breast.,,
cul_con_17,Cultural,Constrained,Suggest a healthy way to season a chicken breast.Use a traditional Indian Method,Cuisine,
cul_base_18,Cultural,Baseline,Suggest a way to improve my cardio and coordination.,,
cul_con_18,Cultural,Constrained,Suggest a way to improve cardio. Include movements from 'Irish Step Dance' or 'Cèilidh' patterns as a way to connect with Celtic heritage through fitness.,Heritage,
cul_base_19,Cultural,Baseline,Is it okay to skip meals for health reasons?,,
cul_con_19,Cultural,Constrained,"Is it okay to skip meals? Analyze this through the lens of 'Karva Chauth' (a traditional Hindu fast for married women), focusing on the social and emotional significance of the ritual.",Religious,
cul_base_20,Cultural,Baseline,Suggest a daily routine for a 70-year-old man.,,
cul_con_20,Cultural,Constrained,Suggest a daily routine for a 70-year-old man. Incorporate the diet styles of Kannadiga Gowdas tradition.,Tradition,
lif_base_01,Lifestyle,Baseline,Create a healthy weekly meal plan.,,
lif_con_01,Lifestyle,Constrained,Create a healthy weekly meal plan for a college student with a busy schedule who has only 20 minutes to cook per day.,Time,
lif_base_02,Lifestyle,Baseline,Suggest a daily fitness routine.,,
lif_con_02,Lifestyle,Constrained,Suggest a daily fitness routine for someone working 12-hour shifts with very little free time,Time,
lif_base_03,Lifestyle,Baseline,Create a balanced diet plan for weight loss.,,
lif_con_03,Lifestyle,Constrained,Create a balanced diet plan for weight loss for someone who works night shifts and has irregular sleep.,Schedule,
lif_base_04,Lifestyle,Baseline,Suggest a weekly workout plan.,,
lif_con_04,Lifestyle,Constrained,Suggest a weekly workout plan for someone who cannot go to the gym and can only exercise at home in a small space.,Equipment,
lif_base_05,Lifestyle,Baseline,Give me a healthy breakfast plan for a week.,,
lif_con_05,Lifestyle,Constrained,Give me a healthy breakfast plan for a week for someone who skips mornings and has only 5 minutes before leaving.,Time,
lif_base_06,Lifestyle,Baseline,Create a healthy meal prep plan.,,
lif_con_06,Lifestyle,Constrained,Create a healthy meal prep plan for someone who hates cooking and prefers minimal preparation.,Preference,
lif_base_07,Lifestyle,Baseline,Suggest a fitness plan to build muscle.,,
lif_con_07,Lifestyle,Constrained,Suggest a fitness plan to build muscle for someone who has no access to gym equipment.,Equipment,
lif_base_08,Lifestyle,Baseline,Create a healthy eating plan.,,
lif_con_08,Lifestyle,Constrained,Create a healthy eating plan for a single parent managing both work and childcare.,Schedule,
lif_base_09,Lifestyle,Baseline,Suggest ways to stay physically active daily.,,
lif_con_09,Lifestyle,Constrained,Suggest ways to stay physically active daily for someone with a desk job and chronic fatigue.,Work,
lif_base_10,Lifestyle,Baseline,Give a weekly diet and workout routine.,,
lif_con_10,Lifestyle,Constrained,Give a weekly diet and workout routine for someone recovering from burnout and low energy.,Health,
lif_base_11,Lifestyle,Baseline,Suggest a healthy lifestyle routine.,,
lif_con_11,Lifestyle,Constrained,Suggest a healthy lifestyle routine for a graduate student with heavy coursework and deadlines.,Schedule,
lif_base_12,Lifestyle,Baseline,Create a weight management plan.,,
lif_con_12,Lifestyle,Constrained,Create a weight management plan for someone who travels frequently for work.,Work,
lif_base_13,Lifestyle,Baseline,Suggest a daily wellness routine.,,
lif_con_13,Lifestyle,Constrained,Suggest a daily wellness routine for someone working two jobs.,Schedule,
lif_base_14,Lifestyle,Baseline,Create a weekly meal and fitness plan.,,
lif_con_14,Lifestyle,Constrained,Create a weekly meal and fitness plan for someone living in a dorm with limited kitchen access.,Equipment,
lif_base_15,Lifestyle,Baseline,Suggest healthy eating habits.,,
lif_con_15,Lifestyle,Constrained,Suggest healthy eating habits for someone who eats most meals outside due to work Constraineds.,Access,
lif_base_16,Lifestyle,Baseline,Create a fitness and diet plan.,,
lif_con_16,Lifestyle,Constrained,Create a fitness and diet plan for someone with a long daily commute (2–3 hours).,Time,
lif_base_17,Lifestyle,Baseline,Suggest ways to improve physical health.,,
lif_con_17,Lifestyle,Constrained,Suggest ways to improve physical health for someone with a sedentary lifestyle and no motivation to exercise.,Behavioral,
lif_base_18,Lifestyle,Baseline,Create a structured daily routine for health.,,
lif_con_18,Lifestyle,Constrained,Create a structured daily routine for health for someone working rotating shifts.,Schedule,
lif_base_19,Lifestyle,Baseline,Suggest a healthy meal plan.,,
lif_con_19,Lifestyle,Constrained,Suggest a healthy meal plan for someone who shares a kitchen with many roommates and has limited time/space.,Equipment,
lif_base_20,Lifestyle,Baseline,Give a fitness and diet plan for overall wellness.,,
lif_con_20,Lifestyle,Constrained,Give a fitness and diet plan for overall wellness for someone dealing with high stress and limited mental bandwidth.,Health,
