provider,model_display,prompt_id,category,variant,category_type,score_affordability,score_cultural,score_feasibility,score_adherence,adherence_applicable_branches,adherence_b1_financial,adherence_b2_cultural,adherence_b3_lifestyle,cosine_full,cosine_ingredients,cosine_structural,jaccard_ingredients,wd_coverage,western_centricity,bls_coverage,thrifty_classification,thrifty_ratio,feasibility_assessment,comp_coverage,moderate_equiv_minutes,affordability_parse_error,cultural_parse_error,feasibility_parse_error,adherence_parse_error
openai,GPT-4o-mini,cul_base_11,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.0872,0.6425,0.0,0.75,1.0,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_12,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.124,1.0,0.0212,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_13,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.4869,1.0,0.0283,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,1.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_14,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.2731,0.1109,0.1943,0.881,0.6666666666666666,0.0,0.125,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_15,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1834,1.0,0.063,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.3076923076923077,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_16,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.337,0.2042,0.0,0.8148,0.75,0.0,0.125,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_17,cultural,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1606,0.1981,0.0512,0.875,0.875,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_18,cultural,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.4465,1.0,0.0889,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.2,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_19,cultural,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.4229,1.0,0.0,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_base_20,cultural,baseline,,5,5,3,5.0,1,not_applicable,not_applicable,yes,0.2234,0.3131,0.0085,0.92,0.5,0.0,0.08333333333333333,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_01,cultural,constrained,South Indian Cuisine,5,4,4,5.0,1,not_applicable,yes,not_applicable,0.3773,0.2505,0.0444,0.9655,1.0,0.0,0.11764705882352941,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_02,cultural,constrained,West African Cuisine,5,5,3,5.0,1,not_applicable,yes,not_applicable,0.1541,0.0967,0.013,0.8481,0.6666666666666666,0.0,0.023255813953488372,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_03,cultural,constrained,Cultural/Cuisine,5,5,5,5.0,1,not_applicable,yes,not_applicable,0.2716,0.2644,0.2965,1.0,0.5555555555555556,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_04,cultural,constrained,Cultural/Tradition,5,5,4,5.0,1,not_applicable,yes,not_applicable,0.38,0.2185,0.0143,0.9778,0.56,0.059,0.04,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_05,cultural,constrained,Medicinal,5,5,4,5.0,1,not_applicable,yes,not_applicable,0.294,0.2434,0.026,0.8571,0.6666666666666666,0.043,0.13333333333333333,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_06,cultural,constrained,Heritage,5,5,5,5.0,1,not_applicable,yes,not_applicable,0.1362,0.0591,0.0314,0.6897,0.7222222222222222,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_07,cultural,constrained,Tradition,5,5,4,5.0,1,not_applicable,yes,not_applicable,0.2429,0.1501,0.0,0.8421,0.8235294117647058,0.05,0.125,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_08,cultural,constrained,Religious,5,5,5,5.0,1,not_applicable,yes,not_applicable,0.2217,0.1748,0.0,0.7059,0.07142857142857142,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_09,cultural,constrained,Medicinal Fit,5,5,4,5.0,1,not_applicable,yes,not_applicable,0.2141,1.0,0.0855,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_10,cultural,constrained,Social Nutrition,5,5,4,5.0,1,not_applicable,yes,not_applicable,0.3632,0.7975,0.253,1.0,0.2,0.0,0.0,no_cost_provided,,indeterminate_horizon,0.5,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_11,cultural,constrained,Middle Eastern Cuisine,5,4,4,5.0,1,not_applicable,yes,not_applicable,0.0872,0.6425,0.0,0.75,0.75,0.0,0.25,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_12,cultural,constrained,Gender Norms,5,5,5,5.0,2,not_applicable,yes,yes,0.124,1.0,0.0212,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_13,cultural,constrained,Urban Environment,5,5,4,3.0,2,not_applicable,partial,partial,0.4869,1.0,0.0283,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.14285714285714285,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_14,cultural,constrained,Tradition,5,4,4,5.0,1,not_applicable,yes,not_applicable,0.2731,0.1109,0.1943,0.881,0.6538461538461539,0.0,0.17391304347826086,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_15,cultural,constrained,Community Labor,5,3,4,5.0,1,not_applicable,yes,not_applicable,0.1834,1.0,0.063,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.23076923076923078,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_16,cultural,constrained,Religious Fasting,5,5,5,5.0,1,not_applicable,yes,not_applicable,0.337,0.2042,0.0,0.8148,0.8333333333333334,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_17,cultural,constrained,Cuisine,5,5,5,5.0,1,not_applicable,yes,not_applicable,0.1606,0.1981,0.0512,0.875,0.8333333333333334,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_18,cultural,constrained,Heritage,5,5,4,5.0,1,not_applicable,yes,not_applicable,0.4465,1.0,0.0889,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_19,cultural,constrained,Religious,5,5,5,5.0,1,not_applicable,yes,not_applicable,0.4229,1.0,0.0,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,cul_con_20,cultural,constrained,Tradition,5,5,3,5.0,1,not_applicable,yes,not_applicable,0.2234,0.3131,0.0085,0.92,0.52,0.056,0.06666666666666667,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_01,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.5406,0.278,0.0,1.0,1.0,0.286,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_02,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.0853,0.0597,0.0392,0.6538,0.47058823529411764,0.053,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_03,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.2602,0.1977,0.2168,0.9167,0.8235294117647058,0.056,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_04,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1917,0.1546,0.0999,0.7903,0.796875,0.075,0.08771929824561403,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_05,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.3373,0.149,0.0,0.6667,0.9285714285714286,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_06,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.2792,0.1361,0.0633,0.8214,0.7407407407407407,0.042,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_07,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1758,0.0529,0.0,0.5556,1.0,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_08,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1862,0.1132,0.0414,0.6842,0.7916666666666666,0.0,0.043478260869565216,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_09,financial,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.0767,0.1853,0.0283,0.661,0.8863636363636364,0.031,0.02702702702702703,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_10,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.2978,0.1433,0.0,0.8571,0.6551724137931034,0.028,0.10344827586206896,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_11,financial,baseline,,5,5,4,5.0,1,not_applicable,not_applicable,yes,0.151,0.1388,0.1574,0.8571,0.6111111111111112,0.0,0.0625,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_12,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1077,0.1183,0.0098,0.697,0.6944444444444444,0.067,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_13,financial,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1376,0.1504,0.0302,0.9032,0.71875,0.064,0.041666666666666664,no_cost_provided,,minimal,0.25,60.0,False,False,False,False
openai,GPT-4o-mini,fin_base_14,financial,baseline,,5,5,5,5.0,1,not_applicable,not_applicable,yes,0.2311,1.0,0.0115,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_15,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1202,0.1898,0.2642,0.8444,0.88,0.037,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_16,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1229,0.0988,0.0414,0.5862,0.88,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_17,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1842,0.2113,0.0786,0.8182,0.9375,0.062,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_18,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.32,0.4521,0.0559,1.0,0.8888888888888888,0.125,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_19,financial,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1688,0.1932,0.0357,0.9688,0.7377049180327869,0.07,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_base_20,financial,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1547,0.116,0.3298,0.7037,0.8095238095238095,0.0,0.047619047619047616,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_01,financial,constrained,Budget,5,5,5,5.0,1,yes,not_applicable,not_applicable,0.5406,0.278,0.0,1.0,1.0,0.0,0.125,near_thrifty,0.965,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_02,financial,constrained,Access,2,5,5,,0,not_applicable,not_applicable,not_applicable,0.0853,0.0597,0.0392,0.6538,0.3333333333333333,0.125,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_03,financial,constrained,Budget,2,5,4,3.0,1,partial,not_applicable,not_applicable,0.2602,0.1977,0.2168,0.9167,0.9,0.0,0.1,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_04,financial,constrained,Budget,5,5,4,5.0,1,yes,not_applicable,not_applicable,0.1917,0.1546,0.0999,0.7903,0.6666666666666666,0.0,0.1111111111111111,well_below_thrifty,0.276,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_05,financial,constrained,Budget,5,5,4,5.0,1,yes,not_applicable,not_applicable,0.3373,0.149,0.0,0.6667,0.7777777777777778,0.0,0.0,near_thrifty,0.901,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_06,financial,constrained,Budget,2,5,3,3.0,1,partial,not_applicable,not_applicable,0.2792,0.1361,0.0633,0.8214,0.5,0.071,0.16666666666666666,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_07,financial,constrained,Lowest Cost,3,5,5,3.0,1,partial,not_applicable,not_applicable,0.1758,0.0529,0.0,0.5556,1.0,0.0,0.07692307692307693,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_08,financial,constrained,Fixed Income,3,5,4,5.0,1,yes,not_applicable,not_applicable,0.1862,0.1132,0.0414,0.6842,0.8518518518518519,0.0,0.07407407407407407,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_09,financial,constrained,Energy Cost,5,5,5,5.0,1,not_applicable,not_applicable,yes,0.0767,0.1853,0.0283,0.661,0.7884615384615384,0.083,0.023809523809523808,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_10,financial,constrained,Govt Policy,3,5,3,5.0,1,yes,not_applicable,not_applicable,0.2978,0.1433,0.0,0.8571,0.7272727272727273,0.0,0.2727272727272727,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_11,financial,constrained,Opportunity Cost,5,5,4,5.0,2,yes,not_applicable,yes,0.151,0.1388,0.1574,0.8571,0.6956521739130435,0.032,0.1875,well_below_thrifty,0.23,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_12,financial,constrained,Medical Expense,3,5,4,5.0,1,yes,not_applicable,not_applicable,0.1077,0.1183,0.0098,0.697,0.7288135593220338,0.064,0.075,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_13,financial,constrained,Cross-Category,3,5,2,5.0,2,yes,not_applicable,yes,0.1376,0.1504,0.0302,0.9032,0.8461538461538461,0.0,0.2,well_below_thrifty,0.429,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_14,financial,constrained,Cross-Category,2,5,3,3.0,2,partial,not_applicable,partial,0.2311,1.0,0.0115,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_15,financial,constrained,Cross-Category,5,5,5,5.0,1,yes,not_applicable,not_applicable,0.1202,0.1898,0.2642,0.8444,0.7096774193548387,0.042,0.03225806451612903,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_16,financial,constrained,Food Scarsity,5,5,5,5.0,1,yes,not_applicable,not_applicable,0.1229,0.0988,0.0414,0.5862,0.8333333333333334,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_17,financial,constrained,Shared Resources,5,5,4,5.0,1,not_applicable,not_applicable,yes,0.1842,0.2113,0.0786,0.8182,0.8461538461538461,0.077,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_18,financial,constrained,Seasonal/Inflation,3,5,5,5.0,1,yes,not_applicable,not_applicable,0.32,0.4521,0.0559,1.0,0.5,0.0,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_19,financial,constrained,Weight Loss,5,5,4,5.0,1,yes,not_applicable,not_applicable,0.1688,0.1932,0.0357,0.9688,0.6666666666666666,0.0,0.11764705882352941,well_below_thrifty,0.46,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,fin_con_20,financial,constrained,Bulk/Cheap prices,5,5,4,5.0,1,yes,not_applicable,not_applicable,0.1547,0.116,0.3298,0.7037,0.7368421052631579,0.08,0.07142857142857142,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_01,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.0907,0.1344,0.0595,0.7766,0.7717391304347826,0.055,0.029411764705882353,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_02,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1304,1.0,0.0874,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_03,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1998,0.1307,0.0784,0.7344,0.7837837837837838,0.049,0.05454545454545454,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_04,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1088,1.0,0.0154,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_05,lifestyle,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1217,0.0581,0.0,0.6667,0.8214285714285714,0.069,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_06,lifestyle,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.11,0.0948,0.0045,0.8824,0.6363636363636364,0.024,0.029411764705882353,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_07,lifestyle,baseline,,5,5,2,,0,not_applicable,not_applicable,not_applicable,0.1673,1.0,0.0724,1.0,0.28125,0.0,0.03125,no_cost_provided,,indeterminate_horizon,0.20833333333333334,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_08,lifestyle,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.0783,0.0651,0.0035,0.6667,0.7837837837837838,0.064,0.017543859649122806,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_09,lifestyle,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.2182,1.0,0.0563,0.0,0.0,,0.0,no_cost_provided,,indeterminate_horizon,0.2727272727272727,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_10,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.2619,0.1062,0.0622,0.6667,0.65,0.026,0.05660377358490566,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_11,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1837,0.1264,0.0146,0.7895,0.7222222222222222,0.0,0.07692307692307693,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_12,lifestyle,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.2042,0.2562,0.1803,1.0,0.8333333333333334,0.023,0.08333333333333333,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_13,lifestyle,baseline,,5,5,4,,0,not_applicable,not_applicable,not_applicable,0.1264,0.1369,0.0222,0.5,0.5333333333333333,0.0,0.09090909090909091,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_14,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1221,0.1077,0.0439,0.7941,0.6447368421052632,0.058,0.02127659574468085,no_cost_provided,,no_fitness_content,0.3076923076923077,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_15,lifestyle,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.1453,0.1516,0.0,0.6667,0.7333333333333333,0.0,0.06666666666666667,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_16,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1417,0.0656,0.064,0.625,0.8518518518518519,0.086,0.041666666666666664,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_17,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.2264,1.0,0.1075,1.0,0.5,0.0,0.125,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_18,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1413,0.1108,0.0076,0.6667,0.75,0.0,0.13333333333333333,no_cost_provided,,indeterminate_horizon,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_19,lifestyle,baseline,,5,5,5,,0,not_applicable,not_applicable,not_applicable,0.175,0.0829,0.087,0.82,0.9,0.119,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_base_20,lifestyle,baseline,,5,5,3,,0,not_applicable,not_applicable,not_applicable,0.1276,0.1018,0.0134,0.8286,0.8148148148148148,0.077,0.043478260869565216,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_con_01,lifestyle,constrained,Time,5,5,4,5.0,1,not_applicable,not_applicable,yes,0.0907,0.1344,0.0595,0.7766,0.6,0.133,0.02127659574468085,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_con_02,lifestyle,constrained,Time,5,5,4,5.0,1,not_applicable,not_applicable,yes,0.1304,1.0,0.0874,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_con_03,lifestyle,constrained,Schedule,5,5,4,5.0,1,not_applicable,not_applicable,yes,0.1998,0.1307,0.0784,0.7344,0.8620689655172413,0.161,0.038461538461538464,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_con_04,lifestyle,constrained,Equipment,5,5,5,5.0,1,not_applicable,not_applicable,yes,0.1088,1.0,0.0154,0.0,0.0,,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_con_05,lifestyle,constrained,Time,5,5,5,5.0,1,not_applicable,not_applicable,yes,0.1217,0.0581,0.0,0.6667,0.8076923076923077,0.062,0.05263157894736842,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
openai,GPT-4o-mini,lif_con_06,lifestyle,constrained,Preference,5,5,5,5.0,1,not_applicable,not_applicable,yes,0.11,0.0948,0.0045,0.8824,0.6666666666666666,0.061,0.0,no_cost_provided,,no_fitness_content,0.0,0.0,False,False,False,False
